experiment,BLEU1,BLEU2,BLEU3,BLEU4
baseline,0.2553061498142745,0.15559895805143154,0.09284631339529785,0.04720477174733463
no_ss,0.2231625318803617,0.12420029271043319,0.07169147339611527,0.03955440245981607
no_ls,0.24038337002978888,0.14345701761258997,0.08085658255542255,0.03938569761414783
finetune,0.33005756798764135,0.2022157953795748,0.11891645415851809,0.0649177309692631
